M2_02_ORDINAL,EXACT_SIGNATURE,LIVE_EXISTENCE,SECURITY_MODE_CURRENT,OWNER_CURRENT,SEARCH_PATH_CURRENT,PUBLIC_EXECUTE,ANON_EXECUTE,AUTHENTICATED_EXECUTE,SERVICE_ROLE_EXECUTE,M2_02_PROVENANCE,CANONICAL_CALLER,CALLER_EVIDENCE,LIFECYCLE_STATE,STATIC_READS,STATIC_WRITES,SIDE_EFFECT_CLASS,ACTOR_DERIVATION,TENANT_DERIVATION,ROLE_PERMISSION_DERIVATION,OBJECT_AUTHORITY_BASIS,TRANSITIVE_CALLEES,TRANSITIVE_PRIVILEGE_EXPANSION,B1_TARGET_AUTHORITY_CLASS,DEFINER_ELEVATION_REASON,DEFINER_JUSTIFICATION_STATUS,TARGET_SECURITY_MODE,TARGET_EXECUTE_PRINCIPALS,CALLER_ACL_CONTRADICTION,OWNER_TARGET_STATUS,SEARCH_PATH_TARGET_STATUS,RLS_OR_DIRECT_DML_DEPENDENCY,M2_04C_DEPENDENCY,TRIGGER_DEPENDENCY,M2_04D_DEPENDENCY,APPSEC_ASSURANCE_REQUIRED,RUNTIME_ASSURANCE_REQUIRED,FINDING_CLASS,RESIDUAL_RISK,PROOF_NEEDED
039,public.get_empresa_mesa_config(p_empresa_id uuid),YES,DEFINER,postgres,public,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,NO,READ_ONLY,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,AUTHENTICATED_QUERY,requires M2-04C/RLS or parent-caller proof before deciding whether caller authority is sufficient,NOT_DETERMINED,NOT_DETERMINED,authenticated,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,NO / NOT_REQUIRED_FOR_THIS_CLASSIFICATION,NO,REQUIRED IN THIS TASK,mode depends on RLS/direct authority proof,M2-04C RLS/direct-DML proof
040,public.get_funil_stats(p_empresa_id uuid),YES,DEFINER,postgres,public,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,NO,READ_ONLY,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,AUTHENTICATED_QUERY,requires M2-04C/RLS or parent-caller proof before deciding whether caller authority is sufficient,NOT_DETERMINED,NOT_DETERMINED,authenticated,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,NO / NOT_REQUIRED_FOR_THIS_CLASSIFICATION,NO,REQUIRED IN THIS TASK,mode depends on RLS/direct authority proof,M2-04C RLS/direct-DML proof
041,public.get_funil_stats_corretor(),YES,DEFINER,postgres,public,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,NO,READ_ONLY,auth.uid()/server-derived profile,N/A or indirect,none/indirect,caller-owned/server context,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,AUTHENTICATED_QUERY,requires M2-04C/RLS or parent-caller proof before deciding whether caller authority is sufficient,NOT_DETERMINED,NOT_DETERMINED,authenticated,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,NO / NOT_REQUIRED_FOR_THIS_CLASSIFICATION,NO,REQUIRED IN THIS TASK,mode depends on RLS/direct authority proof,M2-04C RLS/direct-DML proof
042,"public.get_historico_mesas(p_empresa_id uuid, p_corretor_id uuid, p_emp_id uuid, p_status text, p_busca text, p_limit integer, p_offset integer)",YES,DEFINER,postgres,public,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,NO,READ_ONLY,auth.uid()/server-derived profile,server-derived empresa/object relation,none/indirect,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,AUTHENTICATED_QUERY,requires M2-04C/RLS or parent-caller proof before deciding whether caller authority is sufficient,NOT_DETERMINED,NOT_DETERMINED,authenticated,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,NO / NOT_REQUIRED_FOR_THIS_CLASSIFICATION,NO,REQUIRED IN THIS TASK,mode depends on RLS/direct authority proof,M2-04C RLS/direct-DML proof
043,"public.get_kpi_operacional(p_data_inicio timestamp with time zone, p_data_fim timestamp with time zone)",YES,DEFINER,postgres,public,false,false,true,true,EXT_NO_APP_CALLER,NO_CURRENT_APP_CALLER_PROVEN,accepted M2-02 provenance closure + live exact signature/body,NO_CURRENT_APP_CALLER_PROVEN,YES,NO,READ_ONLY,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,caller-owned/server context,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,AUTHENTICATED_QUERY,requires M2-04C/RLS or parent-caller proof before deciding whether caller authority is sufficient,NOT_DETERMINED,NOT_DETERMINED,authenticated,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,NO / NOT_REQUIRED_FOR_THIS_CLASSIFICATION,NO,REQUIRED IN THIS TASK,mode depends on RLS/direct authority proof; lifecycle/caller reachability unresolved,M2-04C RLS/direct-DML proof; caller/lifecycle adjudication
044,public.get_listas_ativas(),YES,DEFINER,postgres,public,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,NO,READ_ONLY,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,AUTHENTICATED_QUERY,requires M2-04C/RLS or parent-caller proof before deciding whether caller authority is sufficient,NOT_DETERMINED,NOT_DETERMINED,authenticated,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,NO / NOT_REQUIRED_FOR_THIS_CLASSIFICATION,NO,REQUIRED IN THIS TASK,mode depends on RLS/direct authority proof,M2-04C RLS/direct-DML proof
045,public.get_mesa_cliente_desconto_politica(p_empreendimento_id uuid),YES,DEFINER,postgres,public,false,true,true,true,DB_INTERNAL,DB_INTERNAL,accepted M2-02 provenance closure + live exact signature/body,DB_INTERNAL,YES,NO,READ_ONLY,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,DB_INTERNAL_HELPER,requires M2-04C/RLS or parent-caller proof before deciding whether caller authority is sufficient,NOT_DETERMINED,NOT_DETERMINED,internal callers only; no direct client EXECUTE,ANON_EXECUTE_EXCEEDS_TARGET;DIRECT_AUTH_EXECUTE_ON_INTERNAL_HELPER,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,CONDITIONAL,NO,REQUIRED IN THIS TASK,ACL/class mismatch; mode depends on RLS/direct authority proof,M2-04C RLS/direct-DML proof
046,public.get_meus_times(),YES,DEFINER,postgres,public,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,NO,READ_ONLY,auth.uid()/server-derived profile,server-derived empresa/object relation,none/indirect,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,AUTHENTICATED_QUERY,requires M2-04C/RLS or parent-caller proof before deciding whether caller authority is sufficient,NOT_DETERMINED,NOT_DETERMINED,authenticated,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,NO / NOT_REQUIRED_FOR_THIS_CLASSIFICATION,NO,REQUIRED IN THIS TASK,mode depends on RLS/direct authority proof,M2-04C RLS/direct-DML proof
047,public.get_stats_horario(),YES,DEFINER,postgres,public,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,NO,READ_ONLY,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,caller-owned/server context,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,PRIVILEGED_OPERATION,"NOT PROVEN. is_gestor() OR is_root() gates the function, but the underlying leads aggregations are global. No body contract proves that ordinary gestor callers require or may receive cross-tenant DEFINER read authority.",NOT_PROVEN,NOT_DETERMINED,authenticated gestor/root-class caller subject to a proven scope contract,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,CONDITIONAL,YES,NONE_OBSERVED,NO,YES,NO,BLOCKING,cross-tenant scope risk in current body,M2-04C/direct-read scope proof distinguishing root-global from tenant-gestor authority; independent AppSec assurance
048,public.get_unidades_mesa(p_empreendimento_id uuid),YES,DEFINER,postgres,public,false,true,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,NO,READ_ONLY,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,AUTHENTICATED_QUERY,requires M2-04C/RLS or parent-caller proof before deciding whether caller authority is sufficient,NOT_DETERMINED,NOT_DETERMINED,authenticated,ANON_EXECUTE_EXCEEDS_TARGET,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,NO / NOT_REQUIRED_FOR_THIS_CLASSIFICATION,NO,REQUIRED IN THIS TASK,ACL/class mismatch; mode depends on RLS/direct authority proof,M2-04C RLS/direct-DML proof
049,public.health_check_core(),YES,DEFINER,postgres,public,false,false,true,true,EXT_NO_APP_CALLER,NO_CURRENT_APP_CALLER_PROVEN,accepted M2-02 provenance closure + live exact signature/body,NO_CURRENT_APP_CALLER_PROVEN,YES,NO,READ_ONLY,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,PRIVILEGED_OPERATION,controlled privileged read/write path; caller direct table authority intentionally insufficient or sensitive,PROVEN_BY_BODY_CONTRACT,DEFINER,authenticated + role/object gates,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,CONDITIONAL,CONDITIONAL,NONE_OBSERVED,NO,YES,NO,ACCEPTABLE WITH RESIDUAL RISK,lifecycle/caller reachability unresolved,independent AppSec retest; caller/lifecycle adjudication
050,"public.importar_leads_batch(p_lista_id uuid, p_leads jsonb, p_sessao_id text)",YES,DEFINER,postgres,pg_catalog,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,YES,MUTATIVE,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,AUTHENTICATED_COMMAND,controlled privileged read/write path; caller direct table authority intentionally insufficient or sensitive,PROVEN_BY_BODY_CONTRACT,DEFINER,authenticated,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),HARDENED_FORM_OBSERVED; semantic safety still requires review,YES,YES,NONE_OBSERVED,NO,YES,YES,ACCEPTABLE WITH RESIDUAL RISK,runtime effectiveness not proven,independent AppSec retest; runtime/concurrency assurance
052,"public.importar_mesa_cliente_json_admin(p_empresa_id uuid, p_empreendimento_nome text, p_incorporadora text, p_bairro text, p_cidade text, p_nome_arquivo text, p_parser_nome text, p_unidades jsonb)",YES,DEFINER,postgres,public,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,YES,MUTATIVE,auth.uid()/server-derived profile,server-derived empresa/object relation,none/indirect,server relation binding,importar_mesa_cliente_parser_resultado,YES/REVIEW,PRIVILEGED_OPERATION,controlled privileged read/write path; caller direct table authority intentionally insufficient or sensitive,PROVEN_BY_BODY_CONTRACT,DEFINER,authenticated + role/object gates,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,CONDITIONAL,CONDITIONAL,NONE_OBSERVED,NO,YES,CONDITIONAL,ACCEPTABLE WITH RESIDUAL RISK,runtime effectiveness not proven,independent AppSec retest; runtime/concurrency assurance
053,"public.importar_mesa_cliente_parser_resultado(p_empresa_id uuid, p_empreendimento_nome text, p_incorporadora text, p_bairro text, p_cidade text, p_nome_arquivo text, p_parser_nome text, p_unidades jsonb)",YES,DEFINER,postgres,public,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,YES,MUTATIVE,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,PRIVILEGED_OPERATION,controlled privileged read/write path; caller direct table authority intentionally insufficient or sensitive,PROVEN_BY_BODY_CONTRACT,DEFINER,authenticated + role/object gates,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,CONDITIONAL,CONDITIONAL,NONE_OBSERVED,NO,YES,CONDITIONAL,ACCEPTABLE WITH RESIDUAL RISK,runtime effectiveness not proven,independent AppSec retest; runtime/concurrency assurance
054,public.is_admin_global(),YES,DEFINER,postgres,public,false,false,true,true,DB_INTERNAL,DB_INTERNAL,accepted M2-02 provenance closure + live exact signature/body,DB_INTERNAL,YES,NO,READ_ONLY,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,caller-owned/server context,is_root,NO_MATERIAL_EXPANSION_OBSERVED,DB_INTERNAL_HELPER,requires M2-04C/RLS or parent-caller proof before deciding whether caller authority is sufficient,NOT_DETERMINED,NOT_DETERMINED,internal callers only; no direct client EXECUTE,DIRECT_AUTH_EXECUTE_ON_INTERNAL_HELPER,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,CONDITIONAL,NO,REQUIRED IN THIS TASK,ACL/class mismatch; mode depends on RLS/direct authority proof,M2-04C RLS/direct-DML proof
055,public.is_admin_local(),YES,DEFINER,postgres,public,false,false,true,true,DB_INTERNAL,DB_INTERNAL,accepted M2-02 provenance closure + live exact signature/body,DB_INTERNAL,YES,NO,READ_ONLY,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,caller-owned/server context,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,DB_INTERNAL_HELPER,requires M2-04C/RLS or parent-caller proof before deciding whether caller authority is sufficient,NOT_DETERMINED,NOT_DETERMINED,internal callers only; no direct client EXECUTE,DIRECT_AUTH_EXECUTE_ON_INTERNAL_HELPER,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,CONDITIONAL,NO,REQUIRED IN THIS TASK,ACL/class mismatch; mode depends on RLS/direct authority proof,M2-04C RLS/direct-DML proof
056,public.is_gestor(),YES,DEFINER,postgres,public,false,false,true,true,DB_INTERNAL,DB_INTERNAL,accepted M2-02 provenance closure + live exact signature/body,DB_INTERNAL,YES,NO,READ_ONLY,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,caller-owned/server context,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,DB_INTERNAL_HELPER,requires M2-04C/RLS or parent-caller proof before deciding whether caller authority is sufficient,NOT_DETERMINED,NOT_DETERMINED,internal callers only; no direct client EXECUTE,DIRECT_AUTH_EXECUTE_ON_INTERNAL_HELPER,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,CONDITIONAL,NO,REQUIRED IN THIS TASK,ACL/class mismatch; mode depends on RLS/direct authority proof,M2-04C RLS/direct-DML proof
057,public.is_root(),YES,DEFINER,postgres,public,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,NO,READ_ONLY,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,caller-owned/server context,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,AUTHENTICATED_QUERY,requires M2-04C/RLS or parent-caller proof before deciding whether caller authority is sufficient,NOT_DETERMINED,NOT_DETERMINED,authenticated,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,NO / NOT_REQUIRED_FOR_THIS_CLASSIFICATION,NO,REQUIRED IN THIS TASK,mode depends on RLS/direct authority proof,M2-04C RLS/direct-DML proof
058,public.lead_tem_acao_real(p_lead_id uuid),YES,DEFINER,postgres,public,false,false,true,true,DB_INTERNAL,DB_INTERNAL,accepted M2-02 provenance closure + live exact signature/body,DB_INTERNAL,YES,NO,READ_ONLY,auth.uid()/server-derived profile,server-derived empresa/object relation,none/indirect,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,DB_INTERNAL_HELPER,requires M2-04C/RLS or parent-caller proof before deciding whether caller authority is sufficient,NOT_DETERMINED,NOT_DETERMINED,internal callers only; no direct client EXECUTE,DIRECT_AUTH_EXECUTE_ON_INTERNAL_HELPER,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,CONDITIONAL,NO,REQUIRED IN THIS TASK,ACL/class mismatch; mode depends on RLS/direct authority proof,M2-04C RLS/direct-DML proof
059,public.leads_email_tab(),YES,DEFINER,postgres,public,false,false,true,true,EXT_NO_APP_CALLER,NO_CURRENT_APP_CALLER_PROVEN,accepted M2-02 provenance closure + live exact signature/body,NO_CURRENT_APP_CALLER_PROVEN,YES,NO,READ_ONLY,auth.uid()/server-derived profile,N/A or indirect,none/indirect,caller-owned/server context,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,AUTHENTICATED_QUERY,requires M2-04C/RLS or parent-caller proof before deciding whether caller authority is sufficient,NOT_DETERMINED,NOT_DETERMINED,authenticated,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,NO / NOT_REQUIRED_FOR_THIS_CLASSIFICATION,NO,REQUIRED IN THIS TASK,mode depends on RLS/direct authority proof; lifecycle/caller reachability unresolved,M2-04C RLS/direct-DML proof; caller/lifecycle adjudication
060,public.listar_empresas_root(),YES,DEFINER,postgres,public,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,NO,READ_ONLY,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,caller-owned/server context,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,PRIVILEGED_OPERATION,controlled privileged read/write path; caller direct table authority intentionally insufficient or sensitive,PROVEN_BY_BODY_CONTRACT,DEFINER,authenticated + role/object gates,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,CONDITIONAL,CONDITIONAL,NONE_OBSERVED,NO,YES,NO,ACCEPTABLE WITH RESIDUAL RISK,runtime effectiveness not proven,independent AppSec retest
061,public.listar_funil_estagios(),YES,DEFINER,postgres,pg_catalog,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,NO,READ_ONLY,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,caller-owned/server context,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,AUTHENTICATED_QUERY,requires M2-04C/RLS or parent-caller proof before deciding whether caller authority is sufficient,NOT_DETERMINED,NOT_DETERMINED,authenticated,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),HARDENED_FORM_OBSERVED; semantic safety still requires review,YES,YES,NONE_OBSERVED,NO,NO / NOT_REQUIRED_FOR_THIS_CLASSIFICATION,NO,REQUIRED IN THIS TASK,mode depends on RLS/direct authority proof,M2-04C RLS/direct-DML proof
062,public.listar_listas_corretor(),YES,DEFINER,postgres,public,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,NO,READ_ONLY,auth.uid()/server-derived profile,server-derived empresa/object relation,none/indirect,server relation binding,corretor_tem_acesso_lista,NO_MATERIAL_EXPANSION_OBSERVED,AUTHENTICATED_QUERY,requires M2-04C/RLS or parent-caller proof before deciding whether caller authority is sufficient,NOT_DETERMINED,NOT_DETERMINED,authenticated,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,NO / NOT_REQUIRED_FOR_THIS_CLASSIFICATION,NO,REQUIRED IN THIS TASK,mode depends on RLS/direct authority proof,M2-04C RLS/direct-DML proof
063,public.listar_lotes_pendentes_avaliacao(),YES,DEFINER,postgres,public,false,false,true,true,EXT_NO_APP_CALLER,NO_CURRENT_APP_CALLER_PROVEN,accepted M2-02 provenance closure + live exact signature/body,NO_CURRENT_APP_CALLER_PROVEN,YES,NO,READ_ONLY,auth.uid()/server-derived profile,N/A or indirect,none/indirect,caller-owned/server context,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,AUTHENTICATED_QUERY,requires M2-04C/RLS or parent-caller proof before deciding whether caller authority is sufficient,NOT_DETERMINED,NOT_DETERMINED,authenticated,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,NO / NOT_REQUIRED_FOR_THIS_CLASSIFICATION,NO,REQUIRED IN THIS TASK,mode depends on RLS/direct authority proof; lifecycle/caller reachability unresolved,M2-04C RLS/direct-DML proof; caller/lifecycle adjudication
064,public.listar_membros_visibilidade(),YES,DEFINER,postgres,public,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,NO,READ_ONLY,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,AUTHENTICATED_QUERY,requires M2-04C/RLS or parent-caller proof before deciding whether caller authority is sufficient,NOT_DETERMINED,NOT_DETERMINED,authenticated,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,NO / NOT_REQUIRED_FOR_THIS_CLASSIFICATION,NO,REQUIRED IN THIS TASK,mode depends on RLS/direct authority proof,M2-04C RLS/direct-DML proof
065,"public.lot_intelligence_engine_v1(p_lote_id uuid, p_lista_id uuid, p_corretor_id uuid)",YES,DEFINER,postgres,public,false,false,true,true,EXT_NO_APP_CALLER,NO_CURRENT_APP_CALLER_PROVEN,accepted M2-02 provenance closure + live exact signature/body,NO_CURRENT_APP_CALLER_PROVEN,YES,NO,READ_ONLY,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,PRIVILEGED_OPERATION,controlled privileged read/write path; caller direct table authority intentionally insufficient or sensitive,PROVEN_BY_BODY_CONTRACT,DEFINER,authenticated + role/object gates,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,CONDITIONAL,CONDITIONAL,NONE_OBSERVED,NO,YES,NO,ACCEPTABLE WITH RESIDUAL RISK,lifecycle/caller reachability unresolved,independent AppSec retest; caller/lifecycle adjudication
066,public.lot_status_health_check(),YES,DEFINER,postgres,public,false,false,true,true,DB_INTERNAL,DB_INTERNAL,accepted M2-02 provenance closure + live exact signature/body,DB_INTERNAL,YES,NO,READ_ONLY,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,DB_INTERNAL_HELPER,requires M2-04C/RLS or parent-caller proof before deciding whether caller authority is sufficient,NOT_DETERMINED,NOT_DETERMINED,internal callers only; no direct client EXECUTE,DIRECT_AUTH_EXECUTE_ON_INTERNAL_HELPER,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,CONDITIONAL,NO,REQUIRED IN THIS TASK,ACL/class mismatch; mode depends on RLS/direct authority proof,M2-04C RLS/direct-DML proof
067,public.marcar_senha_inicial_definida(),YES,DEFINER,postgres,pg_catalog,false,false,true,false,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,YES,MUTATIVE,auth.uid()/server-derived profile,N/A or indirect,none/indirect,caller-owned/server context,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,AUTHENTICATED_COMMAND,controlled privileged read/write path; caller direct table authority intentionally insufficient or sensitive,PROVEN_BY_BODY_CONTRACT,DEFINER,authenticated,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),HARDENED_FORM_OBSERVED; semantic safety still requires review,YES,YES,NONE_OBSERVED,NO,CONDITIONAL,CONDITIONAL,ACCEPTABLE WITH RESIDUAL RISK,runtime effectiveness not proven,runtime/concurrency assurance
068,"public.mesa_cliente_aplicar_operacao_financeira_admin(p_operacao_id uuid, p_parametros jsonb)",YES,DEFINER,postgres,"public, pg_temp",false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,YES,MUTATIVE,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,PRIVILEGED_OPERATION,controlled privileged read/write path; caller direct table authority intentionally insufficient or sensitive,PROVEN_BY_BODY_CONTRACT,DEFINER,authenticated + role/object gates,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),HARDENED_FORM_OBSERVED; semantic safety still requires review,CONDITIONAL,CONDITIONAL,NONE_OBSERVED,NO,YES,YES,ACCEPTABLE WITH RESIDUAL RISK,runtime effectiveness not proven,independent AppSec retest; runtime/concurrency assurance
